measurer,type,time,number
6,S,23:00.6,
6,S,23:01.2,
6,S,28:52.4,121
6,S,28:53.0,
6,S,34:49.7,122
6,S,34:50.2,
6,S,35:28.2,125
6,S,35:28.6,
6,S,36:02.7,127
6,S,36:35.4,129
6,S,37:20.2,131
6,S,37:20.5,
6,S,37:51.2,134
6,S,37:51.5,
6,S,38:24.1,135
6,S,39:03.7,136
6,S,39:04.1,
6,S,39:42.2,137
6,S,40:14.4,144
6,S,40:49.0,141
6,S,41:23.3,139
6,S,41:23.8,
6,S,42:09.2,146
6,S,42:40.4,126
6,S,43:12.7,149
6,S,43:13.1,
6,S,43:52.1,138
6,S,43:52.5,
6,S,44:21.1,148
6,S,44:53.2,153
6,S,44:53.6,
6,S,45:26.4,145
6,S,45:26.8,
6,S,46:02.1,155
6,S,46:02.4,
6,S,46:48.7,156
6,S,46:49.0,
6,S,47:21.1,147
6,S,47:21.4,
6,S,47:54.0,157
6,S,48:26.0,159
6,S,48:26.3,
6,S,48:59.5,165
6,S,48:59.9,
6,S,49:32.9,166
6,S,50:06.1,142
6,S,50:42.9,158
6,S,51:19.3,172
6,S,51:19.6,
6,S,52:00.6,173
6,S,52:44.6,168
6,S,52:45.0,
6,S,53:39.8,171
6,S,54:16.9,174
6,S,54:51.1,176
6,S,55:25.7,178
6,S,55:26.2,
6,S,56:00.3,179
6,S,56:00.7,
6,S,56:47.3,181
6,S,59:12.4,164
6,S,59:54.1,154
6,S,00:28.0,167
6,S,00:59.1,161
6,S,00:59.6,
6,S,01:33.4,163
6,S,02:07.1,
6,S,03:17.8,177
6,S,03:55.9,152
6,S,04:27.2,175
6,S,05:11.0,132
