measurer,type,time,number
14,S,23:40.8,
14,S,23:41.3,
14,S,29:40.3,121
14,S,29:42.0,
14,S,35:37.6,122
14,S,35:38.3,
14,S,36:16.2,125
14,S,36:16.6,
14,S,36:50.6,127
14,S,37:23.5,129
14,S,37:24.0,
14,S,38:07.8,131
14,S,38:08.2,
14,S,38:39.3,134
14,S,38:39.8,
14,S,39:11.9,135
14,S,39:12.3,
14,S,39:51.4,136
14,S,39:52.4,
14,S,40:30.3,137
14,S,41:00.8,144
14,S,41:01.3,
14,S,41:37.0,141
14,S,41:37.4,
14,S,42:10.7,139
14,S,42:11.4,
14,S,42:55.9,146
14,S,42:56.3,
14,S,43:27.4,126
14,S,43:27.8,
14,S,44:00.7,149
14,S,44:01.6,
14,S,44:40.2,138
14,S,44:40.6,
14,S,45:08.2,148
14,S,45:08.5,
14,S,45:40.5,153
14,S,46:14.4,145
14,S,46:14.9,
14,S,46:49.9,155
14,S,46:50.9,
14,S,47:35.9,156
14,S,47:36.4,
14,S,48:07.8,147
14,S,48:08.5,
14,S,48:42.0,157
14,S,48:43.5,
14,S,49:14.3,159
14,S,49:14.7,
14,S,49:48.0,165
14,S,49:48.9,
14,S,50:20.7,166
14,S,50:21.7,
14,S,50:52.4,142
14,S,50:52.8,
14,S,51:30.6,158
14,S,52:13.3,172
14,S,52:13.7,
14,S,52:49.1,173
14,S,52:49.6,
14,S,53:32.1,168
14,S,53:32.4,
14,S,54:27.2,171
14,S,54:27.7,
14,S,55:05.4,174
14,S,55:06.4,
14,S,55:39.0,176
14,S,55:39.4,
14,S,56:13.9,178
14,S,56:14.8,
14,S,56:47.2,179
14,S,56:48.1,
14,S,57:36.5,181
14,S,57:37.1,
14,S,00:00.2,164
14,S,00:42.0,154
14,S,00:43.0,
14,S,01:16.9,167
14,S,01:46.9,161
14,S,01:47.2,
14,S,02:19.7,163
14,S,02:20.3,
14,S,04:07.6,177
14,S,04:08.2,
14,S,04:44.1,152
14,S,04:44.4,
14,S,05:14.7,175
14,S,05:15.2,
14,S,06:02.2,132
14,S,06:03.4,
