measurer,type,time,number
10,T,53:37.7,
10,S,54:04.5,
10,S,54:04.8,
10,S,54:06.3,
10,S,54:06.7,
10,S,22:31.6,
10,S,22:32.2,
10,S,28:21.3,121
10,S,28:21.9,
10,S,34:18.7,122
10,S,34:19.3,
10,S,34:57.3,125
10,S,34:57.6,
10,S,35:31.5,127
10,S,36:04.2,129
10,S,36:04.8,
10,S,36:49.2,131
10,S,36:49.7,
10,S,37:20.2,134
10,S,37:20.7,
10,S,37:53.0,135
10,S,38:32.9,136
10,S,38:33.6,
10,S,39:11.5,137
10,S,39:11.8,
10,S,39:44.2,144
10,S,39:44.5,
10,S,40:18.4,141
10,S,40:18.8,
10,S,40:54.0,139
10,S,41:39.8,146
10,S,42:10.0,126
10,S,42:10.4,
10,S,42:41.7,149
10,S,42:42.2,
10,S,43:21.1,138
10,S,43:21.6,
10,S,43:50.9,148
10,S,43:51.2,
10,S,44:23.6,153
10,S,44:24.0,
10,S,44:55.7,145
10,S,44:56.5,
10,S,45:29.3,155
10,S,45:30.3,
10,S,46:17.4,156
10,S,46:17.8,
10,S,46:49.1,147
10,S,46:49.4,
10,S,47:23.6,157
10,S,47:55.5,159
10,S,47:55.9,
10,S,48:28.3,165
10,S,48:28.7,
10,S,49:02.0,166
10,S,49:02.4,
10,S,49:36.1,142
10,S,49:36.7,
10,S,50:12.3,158
10,S,50:12.8,
10,S,50:45.3,172
10,S,50:45.6,
10,S,52:13.3,168
10,S,52:13.7,
10,S,53:09.6,171
10,S,53:10.0,
10,S,53:47.0,174
10,S,54:19.5,176
10,S,54:19.8,
10,S,54:54.2,178
10,S,54:55.8,
10,S,55:45.1,179
10,S,55:45.5,
10,S,55:45.8,
10,S,55:46.1,
10,S,55:46.7,
10,S,55:47.1,
10,S,56:16.2,181
10,S,56:40.2,
10,T,58:42.9,164
10,T,59:24.2,154
10,T,59:58.1,167
10,T,00:29.5,161
10,T,01:04.4,163
10,T,02:46.9,177
10,T,03:24.4,152
10,T,03:56.6,175
10,T,04:40.3,132
