measurer,type,time,number
15,T,56:34.6,
15,T,56:35.3,
15,T,56:41.7,
15,T,58:19.5,
15,T,58:20.3,
15,T,16:40.5,
15,S,17:22.6,
15,S,17:23.8,
15,S,23:27.9,
15,S,23:28.5,
15,S,29:24.3,61
15,S,29:24.8,
15,S,35:21.6,62
15,S,35:22.2,
15,S,36:00.1,65
15,S,36:00.6,
15,S,36:34.5,67
15,S,36:36.0,
15,S,37:07.4,69
15,S,37:07.9,
15,S,37:51.8,71
15,S,37:52.3,
15,S,38:23.3,74
15,S,38:56.0,75
15,S,38:56.4,
15,S,39:35.6,76
15,S,39:36.5,
15,S,40:14.1,77
15,S,40:45.3,84
15,S,41:21.2,81
15,S,41:54.9,79
15,S,41:55.4,
15,S,42:40.5,86
15,S,42:41.2,
15,S,43:11.7,66
15,S,43:12.3,
15,S,43:44.7,89
15,S,43:45.1,
15,S,44:24.1,78
15,S,44:24.6,
15,S,44:52.9,88
15,S,45:24.1,93
15,S,45:24.8,
15,S,45:58.1,85
15,S,45:59.2,
15,S,46:33.9,95
15,S,46:35.0,
15,S,47:20.9,96
15,S,47:52.1,87
15,S,48:26.0,97
15,S,48:26.4,
15,S,48:57.5,99
15,S,48:58.0,
15,S,49:31.4,105
15,S,50:04.9,106
15,S,50:37.6,82
15,S,50:38.1,
15,S,51:14.9,98
15,S,51:15.4,
15,S,51:55.1,112
15,S,51:56.4,
15,S,52:32.7,113
15,S,53:16.2,108
15,S,53:16.8,
15,S,54:11.6,111
15,S,54:12.0,
15,S,54:50.1,114
15,S,54:50.5,
15,S,55:23.7,116
15,S,55:57.4,118
15,S,55:58.3,
15,S,56:31.8,119
15,S,56:32.6,
15,S,57:20.5,121
15,S,59:43.6,104
15,S,59:44.9,
15,S,00:26.0,94
15,S,00:26.6,
15,S,00:59.6,107
15,S,01:00.1,
15,S,01:31.3,101
15,S,02:05.1,103
15,S,02:05.4,
15,S,03:51.8,117
15,S,04:28.0,92
15,S,04:59.0,115
15,S,04:59.3,
15,S,05:44.5,72
15,S,05:45.3,
