measurer,type,time,number
5,T,32:56.1,
5,T,53:34.0,
5,T,53:34.8,
5,S,15:26.6,
5,S,19:04.6,
5,S,19:22.4,
5,S,22:09.8,
5,S,22:11.2,
5,S,25:39.4,
5,S,25:40.0,
5,S,27:56.3,121
5,S,27:56.8,
5,S,33:53.7,122
5,S,33:54.2,
5,S,34:32.1,125
5,S,34:32.5,
5,S,35:05.9,127
5,S,35:06.3,
5,S,35:39.1,129
5,S,36:24.4,131
5,S,36:55.3,134
5,S,36:55.7,
5,S,37:27.9,135
5,S,38:07.8,136
5,S,38:08.5,
5,S,38:46.3,137
5,S,38:46.7,
5,S,39:18.4,144
5,S,39:18.9,
5,S,39:54.0,141
5,S,40:28.1,139
5,S,40:28.7,
5,S,41:15.4,146
5,S,41:44.8,126
5,S,42:16.9,149
5,S,42:17.4,
5,S,42:56.2,138
5,S,43:26.7,148
5,S,43:27.7,
5,S,43:58.7,153
5,S,43:59.2,
5,S,44:30.5,145
5,S,45:03.5,155
5,S,45:04.1,
5,S,45:52.2,156
5,S,45:52.7,
5,S,46:24.1,147
5,S,46:24.7,
5,S,46:58.3,157
5,S,46:58.8,
5,S,47:30.4,159
5,S,47:31.1,
5,S,48:03.1,165
5,S,48:36.7,166
5,S,49:10.7,142
5,S,49:11.5,
5,S,49:47.4,158
5,S,49:48.1,
5,S,50:18.3,172
5,S,50:18.7,
5,S,50:55.7,173
5,S,50:57.1,
5,S,51:41.5,168
5,S,52:45.0,171
5,S,52:45.5,
5,S,53:20.5,174
5,S,53:21.2,
5,S,53:54.4,176
5,S,53:55.1,
5,S,54:29.2,178
5,S,54:30.0,
5,S,55:04.5,179
5,S,55:05.3,
5,S,55:50.9,181
5,S,55:51.7,
5,S,58:14.0,164
5,S,58:15.6,
5,S,58:58.2,154
5,S,59:32.2,167
5,S,59:32.7,
5,S,00:03.4,161
5,S,00:03.8,
5,S,00:35.9,163
5,S,00:36.7,
5,S,02:20.2,177
5,S,02:22.0,
5,S,02:59.5,152
5,S,02:59.9,
5,S,03:31.7,175
5,S,03:32.5,
5,S,04:14.5,132
5,S,04:15.4,
