measurer,type,time,number
10,T,12:53:37.66,
10,S,12:54:04.47,
10,S,12:54:04.77,
10,S,12:54:06.35,
10,S,12:54:06.67,
10,S,14:22:31.62,
10,S,14:22:32.16,
10,S,14:28:21.30,1
10,S,14:28:21.91,
10,S,14:34:18.70,2
10,S,14:34:19.30,
10,S,14:34:57.25,5
10,S,14:34:57.57,
10,S,14:35:31.54,7
10,S,14:36:04.24,9
10,S,14:36:04.76,
10,S,14:36:49.21,11
10,S,14:36:49.66,
10,S,14:37:20.22,14
10,S,14:37:20.68,
10,S,14:37:53.05,15
10,S,14:38:32.85,16
10,S,14:38:33.63,
10,S,14:39:11.46,17
10,S,14:39:11.82,
10,S,14:39:44.19,24
10,S,14:39:44.51,
10,S,14:40:18.44,21
10,S,14:40:18.80,
10,S,14:40:53.99,19
10,S,14:41:39.83,26
10,S,14:42:10.02,6
10,S,14:42:10.40,
10,S,14:42:41.73,29
10,S,14:42:42.16,
10,S,14:43:21.07,18
10,S,14:43:21.55,
10,S,14:43:50.86,28
10,S,14:43:51.21,
10,S,14:44:23.55,33
10,S,14:44:23.97,
10,S,14:44:55.67,25
10,S,14:44:56.52,
10,S,14:45:29.26,35
10,S,14:45:30.28,
10,S,14:46:17.38,36
10,S,14:46:17.81,
10,S,14:46:49.05,27
10,S,14:46:49.38,
10,S,14:47:23.55,37
10,S,14:47:55.49,39
10,S,14:47:55.86,
10,S,14:48:28.27,45
10,S,14:48:28.68,
10,S,14:49:02.02,46
10,S,14:49:02.37,
10,S,14:49:36.12,22
10,S,14:49:36.68,
10,S,14:50:12.34,38
10,S,14:50:12.83,
10,S,14:50:45.32,52
10,S,14:50:45.62,
10,S,14:52:13.25,48
10,S,14:52:13.71,
10,S,14:53:09.60,51
10,S,14:53:09.99,
10,S,14:53:46.97,54
10,S,14:54:19.48,56
10,S,14:54:19.79,
10,S,14:54:54.24,58
10,S,14:54:55.82,
10,S,14:55:45.09,59
10,S,14:55:45.46,
10,S,14:55:45.80,
10,S,14:55:46.11,
10,S,14:55:46.68,
10,S,14:55:47.07,
10,S,14:56:16.16,61
10,S,14:56:40.19,
10,T,14:58:42.86,44
10,T,14:59:24.19,34
10,T,14:59:58.09,47
10,T,15:00:29.47,41
10,T,15:01:04.40,43
10,T,15:02:46.94,57
10,T,15:03:24.43,32
10,T,15:03:56.63,55
10,T,15:04:40.31,12
