measurer,type,time,number
11,S,57:25.3,
11,S,21:26.4,
11,S,21:27.3,
11,S,22:48.7,
11,S,28:40.3,61
11,T,30:24.5,
11,S,34:37.8,62
11,S,34:38.3,
11,S,35:16.2,65
11,S,35:16.7,
11,S,35:50.0,67
11,S,35:50.6,
11,S,36:23.4,69
11,S,36:23.9,
11,S,37:08.1,71
11,S,37:39.2,74
11,S,38:12.0,75
11,S,38:12.3,
11,S,38:51.5,76
11,S,38:52.2,
11,S,39:30.5,77
11,S,39:30.8,
11,S,40:02.6,84
11,S,40:03.0,
11,S,40:36.1,81
11,S,40:37.8,
11,S,41:11.8,79
11,S,41:12.2,
11,S,41:57.7,86
11,S,41:58.5,
11,S,42:28.1,66
11,S,42:29.3,
11,S,43:00.7,89
11,S,43:01.1,
11,S,43:40.0,78
11,S,43:40.6,
11,S,44:09.8,88
11,S,44:10.1,
11,S,44:41.5,93
11,S,44:42.1,
11,S,45:14.5,85
11,S,45:49.7,95
11,S,45:50.6,
11,S,46:36.5,96
11,S,46:36.8,
11,S,47:07.6,87
11,S,47:42.2,97
11,S,47:42.6,
11,S,48:14.2,99
11,S,48:14.6,
11,S,48:47.3,105
11,S,49:21.1,106
11,S,49:21.4,
11,S,49:53.8,82
11,S,49:54.8,
11,S,50:31.0,98
11,S,50:31.7,
11,S,51:04.9,112
11,S,51:05.9,
11,S,51:46.3,113
11,S,52:32.6,108
11,S,53:28.0,111
11,S,54:04.9,114
11,S,54:05.5,
11,S,54:39.2,116
11,S,55:13.5,118
11,S,55:13.9,
11,S,55:48.3,119
11,S,55:49.3,
11,S,56:36.0,121
11,S,59:00.4,104
11,S,59:00.9,
11,S,59:41.2,94
11,S,59:42.8,
11,S,00:16.0,107
11,S,00:16.3,
11,S,00:48.2,101
11,S,01:21.8,103
11,S,03:04.8,117
11,S,03:06.2,
11,S,03:43.3,92
11,S,03:43.8,
11,S,04:15.4,115
11,S,04:15.8,
11,S,04:58.3,72
11,S,04:58.6,
