measurer,type,time,number
15,T,56:34.6,
15,T,56:35.3,
15,T,56:41.7,
15,T,58:19.5,
15,T,58:20.3,
15,T,16:40.5,
15,S,17:22.6,
15,S,17:23.8,
15,S,23:27.9,
15,S,23:28.5,
15,S,29:24.3,121
15,S,29:24.8,
15,S,35:21.6,122
15,S,35:22.2,
15,S,36:00.1,125
15,S,36:00.6,
15,S,36:34.5,127
15,S,36:36.0,
15,S,37:07.4,129
15,S,37:07.9,
15,S,37:51.8,131
15,S,37:52.3,
15,S,38:23.3,134
15,S,38:56.0,135
15,S,38:56.4,
15,S,39:35.6,136
15,S,39:36.5,
15,S,40:14.1,137
15,S,40:45.3,144
15,S,41:21.2,141
15,S,41:54.9,139
15,S,41:55.4,
15,S,42:40.5,146
15,S,42:41.2,
15,S,43:11.7,126
15,S,43:12.3,
15,S,43:44.7,149
15,S,43:45.1,
15,S,44:24.1,138
15,S,44:24.6,
15,S,44:52.9,148
15,S,45:24.1,153
15,S,45:24.8,
15,S,45:58.1,145
15,S,45:59.2,
15,S,46:33.9,155
15,S,46:35.0,
15,S,47:20.9,156
15,S,47:52.1,147
15,S,48:26.0,157
15,S,48:26.4,
15,S,48:57.5,159
15,S,48:58.0,
15,S,49:31.4,165
15,S,50:04.9,166
15,S,50:37.6,142
15,S,50:38.1,
15,S,51:14.9,158
15,S,51:15.4,
15,S,51:55.1,172
15,S,51:56.4,
15,S,52:32.7,173
15,S,53:16.2,168
15,S,53:16.8,
15,S,54:11.6,171
15,S,54:12.0,
15,S,54:50.1,174
15,S,54:50.5,
15,S,55:23.7,176
15,S,55:57.4,178
15,S,55:58.3,
15,S,56:31.8,179
15,S,56:32.6,
15,S,57:20.5,181
15,S,59:43.6,164
15,S,59:44.9,
15,S,00:26.0,154
15,S,00:26.6,
15,S,00:59.6,167
15,S,01:00.1,
15,S,01:31.3,161
15,S,02:05.1,163
15,S,02:05.4,
15,S,03:51.8,177
15,S,04:28.0,152
15,S,04:59.0,175
15,S,04:59.3,
15,S,05:44.5,132
15,S,05:45.3,
