measurer,type,time,number
6,S,23:00.6,
6,S,23:01.2,
6,S,28:52.4,61
6,S,28:53.0,
6,S,34:49.7,62
6,S,34:50.2,
6,S,35:28.2,65
6,S,35:28.6,
6,S,36:02.7,67
6,S,36:35.4,69
6,S,37:20.2,71
6,S,37:20.5,
6,S,37:51.2,74
6,S,37:51.5,
6,S,38:24.1,75
6,S,39:03.7,76
6,S,39:04.1,
6,S,39:42.2,77
6,S,40:14.4,84
6,S,40:49.0,81
6,S,41:23.3,79
6,S,41:23.8,
6,S,42:09.2,86
6,S,42:40.4,66
6,S,43:12.7,89
6,S,43:13.1,
6,S,43:52.1,78
6,S,43:52.5,
6,S,44:21.1,88
6,S,44:53.2,93
6,S,44:53.6,
6,S,45:26.4,85
6,S,45:26.8,
6,S,46:02.1,95
6,S,46:02.4,
6,S,46:48.7,96
6,S,46:49.0,
6,S,47:21.1,87
6,S,47:21.4,
6,S,47:54.0,97
6,S,48:26.0,99
6,S,48:26.3,
6,S,48:59.5,105
6,S,48:59.9,
6,S,49:32.9,106
6,S,50:06.1,82
6,S,50:42.9,98
6,S,51:19.3,112
6,S,51:19.6,
6,S,52:00.6,113
6,S,52:44.6,108
6,S,52:45.0,
6,S,53:39.8,111
6,S,54:16.9,114
6,S,54:51.1,116
6,S,55:25.7,118
6,S,55:26.2,
6,S,56:00.3,119
6,S,56:00.7,
6,S,56:47.3,121
6,S,59:12.4,104
6,S,59:54.1,94
6,S,00:28.0,107
6,S,00:59.1,101
6,S,00:59.6,
6,S,01:33.4,103
6,S,02:07.1,
6,S,03:17.8,117
6,S,03:55.9,92
6,S,04:27.2,115
6,S,05:11.0,72
